batch_index,image_index_in_batch,tp,fp,fn,matched_iou_sum,matched_count,prediction_count,ground_truth_count
151,0,4,3,7,2.585154950618744,4,7,11
152,0,7,1,3,4.430711269378662,7,8,10
153,0,4,1,2,2.6409687995910645,4,5,6
154,0,6,0,2,4.142965912818909,6,6,8
155,0,3,1,3,2.3456560373306274,3,4,6
156,0,3,1,3,1.9602503776550293,3,4,6
157,0,4,1,4,2.442640483379364,4,5,8
158,0,2,0,4,1.5799279808998108,2,2,6
159,0,5,0,7,3.9599873423576355,5,5,12
160,0,3,0,1,2.3782256841659546,3,3,4
161,0,4,0,8,3.2889631390571594,4,4,12
162,0,7,2,3,4.582461059093475,7,9,10
163,0,7,1,6,4.410469591617584,7,8,13
164,0,4,0,1,2.825794517993927,4,4,5
165,0,4,1,0,3.194110929965973,4,5,4
166,0,7,1,0,5.280539631843567,7,8,7
167,0,9,0,3,6.608426988124847,9,9,12
168,0,4,4,2,2.916642963886261,4,8,6
169,0,2,1,1,1.7071359753608704,2,3,3
170,0,4,1,0,3.11312997341156,4,5,4
171,0,4,1,1,2.8754522800445557,4,5,5
172,0,9,1,6,6.738831162452698,9,10,15
173,0,8,3,2,5.729309678077698,8,11,10
174,0,8,0,6,6.667166292667389,8,8,14
175,0,6,2,4,4.490995705127716,6,8,10
176,0,3,0,1,2.4447065591812134,3,3,4
177,0,4,2,4,2.595408260822296,4,6,8
178,0,8,2,2,5.51657909154892,8,10,10
179,0,4,0,0,3.2136362195014954,4,4,4
180,0,7,1,7,4.857830286026001,7,8,14
181,0,2,1,0,1.268565595149994,2,3,2
182,0,11,0,5,7.992919981479645,11,11,16
183,0,2,1,6,1.3969802856445312,2,3,8
184,0,4,1,1,2.8904393911361694,4,5,5
185,0,4,0,1,2.7359302043914795,4,4,5
186,0,7,1,9,5.417913556098938,7,8,16
187,0,4,0,0,3.354001820087433,4,4,4
188,0,1,1,4,0.7443332672119141,1,2,5
189,0,7,0,1,4.988368928432465,7,7,8
190,0,4,0,1,3.142698645591736,4,4,5
191,0,8,2,0,5.817712664604187,8,10,8
192,0,4,0,7,2.6018052101135254,4,4,11
193,0,6,1,9,4.202950477600098,6,7,15
194,0,3,2,0,2.34582382440567,3,5,3
195,0,6,1,4,4.405203282833099,6,7,10
196,0,8,2,6,5.285716414451599,8,10,14
197,0,5,0,6,3.600477695465088,5,5,11
198,0,4,0,2,2.792165160179138,4,4,6
199,0,4,0,0,3.067460775375366,4,4,4
200,0,5,1,2,3.605602979660034,5,6,7
201,0,1,0,2,0.7264319062232971,1,1,3
202,0,7,1,1,4.735761046409607,7,8,8
203,0,8,0,6,5.937263071537018,8,8,14
